ParticipantID,Gender,Accuracy,Phase,Entity,EntityNum,Percentage_B1,Percentage_B2,Percentage_Avg
P307,F,1,2,Comment,1,0.07,0.18,0.16
P307,F,1,2,Class_Signature,2,0,0,0
P307,F,1,2,Method_Body,3,0.85,0.82,0.835
P307,F,1,2,Method_Signature,4,0,0,0
P307,F,1,3,Member_Variable,0,0.02,NA,0.01
P307,F,1,3,Comment,1,0.11,NA,0.055
P307,F,1,3,Class_Signature,2,0,NA,0
P307,F,1,3,Method_Body,3,0.87,NA,0.435
P307,F,1,3,Method_Signature,4,0,NA,0
P308,F,0,1,Member_Variable,0,0.02,0.05,0.035
P308,F,0,1,Comment,1,0.21,0.17,0.19
P308,F,0,1,Class_Signature,2,0,0,0
P308,F,0,1,Method_Body,3,0.77,0.69,0.73
P308,F,0,1,Method_Signature,4,0,0.09,0.045
P308,F,0,2,Member_Variable,0,0.15,0.05,0.1
P308,F,0,2,Comment,1,0.14,0.32,0.23
P308,F,0,2,Class_Signature,2,0,0,0
P308,F,0,2,Method_Body,3,0.71,0.6,0.655
P308,F,0,2,Method_Signature,4,0,0.03,0.015
P308,F,0,3,Member_Variable,0,NA,0.02,0.01
P308,F,0,3,Comment,1,NA,0.26,0.13
P308,F,0,3,Class_Signature,2,NA,0,0
P308,F,0,3,Method_Body,3,NA,0.61,0.305
P308,F,0,3,Method_Signature,4,NA,0.11,0.055
P309,M,0,1,Member_Variable,0,NA,0.01,0.005
P309,M,0,1,Comment,1,NA,0.13,0.065
P309,M,0,1,Class_Signature,2,NA,0,0
P309,M,0,1,Method_Body,3,NA,0.84,0.42
P309,M,0,1,Method_Signature,4,NA,0.02,0.01
P309,M,0,2,Member_Variable,0,NA,0,0
P309,M,0,2,Comment,1,NA,0.1,0.05
P309,M,0,2,Class_Signature,2,NA,0,0
P309,M,0,2,Method_Body,3,NA,0.9,0.45
P309,M,0,2,Method_Signature,4,NA,0,0
P309,M,0,3,Member_Variable,0,0.01,0.02,0.015
P309,M,0,3,Comment,1,0.27,0.18,0.225
P309,M,0,3,Class_Signature,2,0,0,0
P309,M,0,3,Method_Body,3,0.71,0.79,0.755
P309,M,0,3,Method_Signature,4,0.01,0.01,0.01
P401,F,1,1,Member_Variable,0,0.13,0.09,0.06
P401,F,1,1,Comment,1,0.18,0.19,0.135
P401,F,1,1,Class_Signature,2,0.03,0,0
P401,F,1,1,Method_Body,3,0.6,0.64,0.59
